cls,n,m,p,S,seed,obj,bound,gap_pct,time,lp_time,optimal,obj_heur,time_heur,obj_ratio,speedup,heur_gap_pct
small,50,25,4,15,100,2579.0,1894.5,26.5412950756107,0.015542984008789062,0.006999969482421875,True,2579,0.00016736984252929688,1.0,92.86609686609687,0.0
small,50,25,4,15,101,7059.0,7059.0,0.0,0.007792472839355469,0.0073010921478271484,True,7059,0.00011539459228515625,1.0,67.52892561983471,0.0
small,50,25,4,15,102,2231.0,2231.0,0.0,0.007505178451538086,0.00577998161315918,True,2231,0.0002276897430419922,1.0,32.962303664921464,0.0
small,50,25,4,15,103,6198.0,6198.0,0.0,0.008094549179077148,0.0059015750885009766,True,7221,0.00010538101196289062,1.165053242981607,76.81221719457014,16.505324298160698
small,50,25,4,15,104,5472.0,5214.66662757,4.702729759320176,0.02290654182434082,0.006861686706542969,True,5472,0.00022721290588378906,1.0,100.81532004197271,0.0
small,50,25,4,15,105,1153.0,768.66667051,33.333332999999996,0.014029264450073242,0.00666046142578125,True,1153,0.00011444091796875,1.0,122.58958333333334,0.0
small,50,25,4,15,106,4090.0,3927.2000000000003,3.9804400977995043,0.016813039779663086,0.0054912567138671875,True,5749,0.00017333030700683594,1.4056234718826406,97.0,40.562347188264056
small,50,25,4,15,107,4967.0,4967.0,0.0,0.0072040557861328125,0.006020545959472656,True,4967,0.00011134147644042969,1.0,64.70235546038543,0.0
medium,200,100,15,10,200,71350.0,70513.00006701,1.1730903055220772,0.07658720016479492,0.014003276824951172,True,100463,0.0018846988677978516,1.408030833917309,40.636306135357366,40.8030833917309
medium,200,100,15,10,201,58895.0,58480.25,0.7042193734612446,0.08394598960876465,0.025023460388183594,True,61369,0.002062559127807617,1.042006961541727,40.6999190844989,4.200696154172681
medium,200,100,15,10,202,65778.0,63417.75025163,3.588205400544253,0.11446332931518555,0.017595291137695312,True,95362,0.0019807815551757812,1.4497552373133875,57.7869523350987,44.97552373133875
medium,200,100,15,10,203,75122.0,73359.0,2.346849125422646,0.18936562538146973,0.014582157135009766,True,87069,0.0019898414611816406,1.1590346369904954,95.16618739515935,15.903463699049546
medium,200,100,15,10,204,71516.0,70136.5,1.9289389786900832,0.10122489929199219,0.013938665390014648,True,117638,0.001996278762817383,1.644918619609598,50.70679565269318,64.49186196095978
