cls,n,m,p,S,seed,avg_Ni,frac_covered,obj,bound,gap_pct,time,optimal,obj_heur,time_heur,heur_gap_pct
S=4,1000,500,50,4,740,2.39,0.902,132830.0,132830.0,0.0,0.09886050224304199,True,169937,0.03486061096191406,27.93570729503877
S=4,1000,500,50,4,741,2.48,0.931,107206.0,107087.5,0.11053485812361248,0.679332971572876,True,154475,0.03685951232910156,44.09174859616066
S=4,1000,500,50,4,742,2.39,0.909,130441.0,130441.0,0.0,0.10125184059143066,True,158416,0.03471946716308594,21.446477717895448
S=6,1000,500,50,6,760,5.32,0.997,315561.0,314019.5400750499,0.48848239324570836,0.5954926013946533,True,426112,0.06151580810546875,35.03316316021308
S=6,1000,500,50,6,761,5.28,0.993,374895.0,368887.1318925601,1.6025468751090017,1.5366065502166748,True,582731,0.05883502960205078,55.43845610104162
S=6,1000,500,50,6,762,5.47,0.993,337001.0,332962.3337446101,1.1984137303420235,2.9493675231933594,True,408499,0.0716702938079834,21.21596078349916
S=8,1000,500,50,8,780,9.13,1.0,396424.0,387125.91331232,2.345490355699954,3.7377545833587646,True,587637,0.09191250801086426,48.234466127176965
S=8,1000,500,50,8,781,9.21,1.0,452171.0,437956.17315232,3.1436838823542357,3.5880563259124756,True,517347,0.09488892555236816,14.414015936448822
S=8,1000,500,50,8,782,9.28,1.0,396197.0,391453.05859375,1.1973693405679497,6.613005876541138,True,514636,0.09490561485290527,29.89396689020866
S=10,1000,500,50,10,800,14.37,1.0,467667.0,449114.3519445001,3.967063755941703,16.228099584579468,True,475060,0.13704800605773926,1.580825672968159
S=10,1000,500,50,10,801,14.54,1.0,657997.0,505137.6000000006,23.231017770597646,121.19671273231506,True,760807,0.1371455192565918,15.624691297984642
S=10,1000,500,50,10,802,14.21,1.0,587387.0,497561.03072765045,15.292468044466348,120.13433933258057,True,620763,0.1341416835784912,5.682114176854442
S=12,1000,500,50,12,820,20.39,1.0,810550.0,504986.0999999997,37.69834063290362,120.56173348426819,True,879591,0.17862963676452637,8.517796557892789
S=12,1000,500,50,12,821,20.17,1.0,645660.0,495028.2000000001,23.329894991171805,120.45064687728882,True,822927,0.18221497535705566,27.45516215965059
S=12,1000,500,50,12,822,20.38,1.0,994413.0,497482.8000000006,49.97221476388577,134.33683276176453,True,752068,0.29775166511535645,-24.37065887111291
