cls,n,m,p,S,seed,obj,bound,gap_pct,time,lp_time,optimal
small,50,25,4,15,100,2579.0,1894.5,26.5412950756107,0.015542984008789062,0.006999969482421875,True
small,50,25,4,15,101,7059.0,7059.0,0.0,0.007792472839355469,0.0073010921478271484,True
small,50,25,4,15,102,2231.0,2231.0,0.0,0.007505178451538086,0.00577998161315918,True
small,50,25,4,15,103,6198.0,6198.0,0.0,0.008094549179077148,0.0059015750885009766,True
small,50,25,4,15,104,5472.0,5214.66662757,4.702729759320176,0.02290654182434082,0.006861686706542969,True
small,50,25,4,15,105,1153.0,768.66667051,33.333332999999996,0.014029264450073242,0.00666046142578125,True
small,50,25,4,15,106,4090.0,3927.2000000000003,3.9804400977995043,0.016813039779663086,0.0054912567138671875,True
small,50,25,4,15,107,4967.0,4967.0,0.0,0.0072040557861328125,0.006020545959472656,True
medium,200,100,15,10,200,71350.0,70513.00006701,1.1730903055220772,0.07658720016479492,0.014003276824951172,True
medium,200,100,15,10,201,58895.0,58480.25,0.7042193734612446,0.08394598960876465,0.025023460388183594,True
medium,200,100,15,10,202,65778.0,63417.75025163,3.588205400544253,0.11446332931518555,0.017595291137695312,True
medium,200,100,15,10,203,75122.0,73359.0,2.346849125422646,0.18936562538146973,0.014582157135009766,True
medium,200,100,15,10,204,71516.0,70136.5,1.9289389786900832,0.10122489929199219,0.013938665390014648,True
medium,200,100,15,10,205,61201.0,61201.0,0.0,0.02249765396118164,0.014757394790649414,True
medium,200,100,15,10,206,74223.0,74008.85719639201,0.2885127300270654,0.07782912254333496,0.015048980712890625,True
medium,200,100,15,10,207,70620.0,69392.0,1.7388841687907108,0.07380151748657227,0.015341520309448242,True
medium,200,100,15,10,208,59414.0,57733.66671319,2.8281773434039064,0.07703804969787598,0.015547752380371094,True
medium,200,100,15,10,209,62093.0,59547.5,4.099495917414202,0.11554145812988281,0.018385648727416992,True
large,500,250,25,8,300,171751.0,166323.28545712997,3.160222963982761,3.765211343765259,0.06561279296875,True
large,500,250,25,8,301,126661.0,123958.86694047,2.1333583814512718,0.49049949645996094,0.12629151344299316,True
large,500,250,25,8,302,164051.0,162319.7996209701,1.0552818203058232,0.2728433609008789,0.061495065689086914,True
large,500,250,25,8,303,182834.0,179148.43256412997,2.015799816155657,0.7144179344177246,0.061454057693481445,True
large,500,250,25,8,304,173037.0,172572.5,0.268439697868086,0.4070136547088623,0.06449699401855469,True
large,500,250,25,8,305,180431.0,176208.42789191997,2.340269747482433,2.4850454330444336,0.06561779975891113,True
large,500,250,25,8,306,158619.0,156534.99999999997,1.3138400822095897,0.38609981536865234,0.060083627700805664,True
large,500,250,25,8,307,162396.0,162396.0,0.0,0.0998377799987793,0.06529879570007324,True
large,500,250,25,8,308,131936.0,128660.36388124,2.482746269979382,0.4980885982513428,0.060770511627197266,True
large,500,250,25,8,309,182846.0,180301.71999999997,1.3914879187950668,1.0011415481567383,0.06183338165283203,True
xl,1000,500,50,6,400,332806.0,330343.40022643097,0.7399505338152054,3.3471767902374268,0.17856121063232422,True
xl,1000,500,50,6,401,367944.0,367307.54553084006,0.17297590643139826,0.776911735534668,0.17249226570129395,True
xl,1000,500,50,6,402,320230.0,318240.33302979,0.6213243513131109,1.9609732627868652,0.17632174491882324,True
xl,1000,500,50,6,403,394888.0,393051.0000000001,0.4651951945867901,2.3882155418395996,0.21017956733703613,True
xl,1000,500,50,6,404,373172.0,372331.45469891996,0.22524340011577532,1.4902291297912598,0.18534326553344727,True
xl,1000,500,50,6,405,347184.0,336571.19017818,3.0568257240598653,3.0767369270324707,0.18237900733947754,True
xl,1000,500,50,6,406,331567.0,330786.15354339994,0.23550186134327664,1.1106736660003662,0.17895293235778809,True
xxl,2000,1000,100,5,500,760809.0,755725.8002528446,0.6681308642715085,10.180303812026978,0.826460599899292,True
xxl,2000,1000,100,5,501,804288.0,800208.333476784,0.5072395116197113,9.08396291732788,0.8468966484069824,True
xxl,2000,1000,100,5,502,773417.0,769200.3159605002,0.5452018819730938,36.22860813140869,0.7912423610687256,True
xxl,2000,1000,100,5,503,870781.0,867743.4000000001,0.3488362745627041,7.1095240116119385,0.8764450550079346,True
xxl,2000,1000,100,5,504,852229.0,851973.3528744498,0.029997468468005255,5.16657567024231,1.0096158981323242,True
